song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
Phineas and Ferb Theme,https://phineasandferb.fandom.com/wiki/Phineas_and_Ferb_Theme,Rollercoaster,"Ska, Rock",0:55,8.2,497,1,"Dan PovenmireJeff ""Swampy"" Marsh",Dan Povenmire,2007-08-17,101a,Phineas and Ferb construct a roller coaster from their backyard out to the whole city for themselves and the neighborhood kids. Perry the Platypus attempts to thwart Dr. Doofenshmirtz's evil plan to halt the Earth's rotation.
If Summer Only Lasted One Day,https://phineasandferb.fandom.com/wiki/If_Summer_Only_Lasted_One_Day,Lawn Gnome Beach Party of Terror,Surf rock,0:34,NA,NA,2,"Bobby GaylorMartin OlsonJeff ""Swampy"" MarshDan PovenmireChris HeadrickJon Colton Barry",Dan Povenmire,2007-09-28,102b,"Phineas and Ferb build a huge paradise of a beach in their backyard on the hottest day of the year. Meanwhile, Agent P tries to stop Doofenshmirtz from stealing all lawn gnomes in the Tri-State Area in revenge for having to dress as one in his youth.Guest voice: Keone Young as Dancer."
Backyard Beach,https://phineasandferb.fandom.com/wiki/Backyard_Beach_(song),Lawn Gnome Beach Party of Terror,"Reggae, dancehall",0:46,NA,NA,2,"Bobby GaylorMartin OlsonJeff ""Swampy"" MarshDan PovenmireChris HeadrickJon Colton Barry",Dan Povenmire,2007-09-28,102b,"Phineas and Ferb build a huge paradise of a beach in their backyard on the hottest day of the year. Meanwhile, Agent P tries to stop Doofenshmirtz from stealing all lawn gnomes in the Tri-State Area in revenge for having to dress as one in his youth.Guest voice: Keone Young as Dancer."
Our Song,https://phineasandferb.fandom.com/wiki/Our_Song,Lawn Gnome Beach Party of Terror,NA,0:36,NA,NA,2,"Bobby GaylorMartin OlsonJeff ""Swampy"" MarshDan PovenmireChris HeadrickJon Colton Barry",Dan Povenmire,2007-09-28,102b,"Phineas and Ferb build a huge paradise of a beach in their backyard on the hottest day of the year. Meanwhile, Agent P tries to stop Doofenshmirtz from stealing all lawn gnomes in the Tri-State Area in revenge for having to dress as one in his youth.Guest voice: Keone Young as Dancer."
Perry the Platypus,https://phineasandferb.fandom.com/wiki/Perry_the_Platypus_(song),One Good Scare Ought to Do It!,Jazz,0:47,NA,NA,39,Bobby GaylorMartin OlsonChris HeadrickJon Colton Barry,Dan PovenmireZac Moncrief,2008-10-03,109,"Isabella is cursed with a bad case of the hiccups. Phineas decides to build her a super haunted house to scare 'em out of her. Meanwhile, Perry stops Dr. Doofenshmirtz from destroying his old mentor's hideout, and Candace tries to go to Jeremy's house, but his evil sister Suzy stops her."
Audition Medley,https://phineasandferb.fandom.com/wiki/Audition_Medley,Flop Starz,Pop,NA,8.1,308,3,"Jeff ""Swampy"" MarshDan PovenmireSherm CohenAntoine Guilbaud",Dan Povenmire,2008-02-01,104b,"Candace tries out for The Next Super American Pop Teen Idol Star, but Phineas and Ferb take another route to stardom. Meanwhile, Perry the Platypus tries to stop the evil Dr. Doofenshmirtz from taking over the Tri-State Area with a giant building-shaped robot.Guest voice: Jeff Bennett as Ben Baxter."
Gitchee Gitchee Goo,https://phineasandferb.fandom.com/wiki/Gitchee_Gitchee_Goo,S'Winter,Pop,0:43,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Evil Jingle,https://phineasandferb.fandom.com/wiki/Evil_Jingle,Flop Starz,Jingle,0:03,8.1,308,3,"Jeff ""Swampy"" MarshDan PovenmireSherm CohenAntoine Guilbaud",Dan Povenmire,2008-02-01,104b,"Candace tries out for The Next Super American Pop Teen Idol Star, but Phineas and Ferb take another route to stardom. Meanwhile, Perry the Platypus tries to stop the evil Dr. Doofenshmirtz from taking over the Tri-State Area with a giant building-shaped robot.Guest voice: Jeff Bennett as Ben Baxter."
I'm Lindana and I Wanna Have Fun,https://phineasandferb.fandom.com/wiki/I%27m_Lindana_and_I_Wanna_Have_Fun,Flop Starz,Dance-pop,0:320:49 Album,8.1,308,3,"Jeff ""Swampy"" MarshDan PovenmireSherm CohenAntoine Guilbaud",Dan Povenmire,2008-02-01,104b,"Candace tries out for The Next Super American Pop Teen Idol Star, but Phineas and Ferb take another route to stardom. Meanwhile, Perry the Platypus tries to stop the evil Dr. Doofenshmirtz from taking over the Tri-State Area with a giant building-shaped robot.Guest voice: Jeff Bennett as Ben Baxter."
"Go, Go, Phineas","https://phineasandferb.fandom.com/wiki/Go,_Go,_Phineas",S'Winter,Rock and roll,0:31,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
